ts,unit,code,description,detail,data
20250127 10:21:28,BMU,32,System status changed,Prev status: Load parameters. New status: Assign address.,090affffffffffffffffffffffffffffffffffffffffff
20250127 10:26:27,BMU,36,Functional safety info,Running time: 300 s. Cells: 0. Temperature sensors: 0. Cell max voltage: 0 mV. Cell min voltage: 0 mV. Cell max temp: 0 °C. Cell min temp: 0 °C. Output current: 0.0 A. Output voltage: 0.0 V. Accumulated voltage: 0.0 V. BMS address: 0. Module type: Undefined. Modules: 0.,0000012c0000000000000000000000000000000a000000
20250127 10:26:42,BMU,1,Power OFF,Powered off by 3.,03ffffffffffffffffffffffffffffffffffffffffffff
20250127 10:26:42,BMU,32,System status changed,Prev status: Assign address. New status: Shutdown.,0609ffffffffffffffffffffffffffffffffffffffffff
20250127 10:37:12,BMU,0,Power ON,Bootloader: 0. Executing: B. Firmware: 3.24.,0001031802ffffffffffffffffffffffffffffffffffff
20250127 10:37:12,BMU,32,System status changed,Prev status: Load parameters. New status: Assign address.,090affffffffffffffffffffffffffffffffffffffffff
20250127 10:37:12,BMU,40,BMS firmware list,Firmware n1: 2. Firmware v1: 3.30. Firmware n2: 3. Firmware v2: 3.30.,02031e03031effffffffffffffffffffffffffffff0002
20250127 10:37:12,BMU,41,MCU list of BMS,Not decoded: 050000ffff0000ffff0000ffff0000ffff0000ffffffff,050000ffff0000ffff0000ffff0000ffff0000ffffffff
20250127 10:41:02,BMU,32,System status changed,Prev status: Assign address. New status: Battery check.,0809ffffffffffffffffffffffffffffffffffffffffff
20250127 10:41:05,BMU,41,MCU list of BMS,Not decoded: 050000000c0000ffff0000ffff0000ffff0000ffffffff,050000000c0000ffff0000ffff0000ffff0000ffffffff
20250127 10:41:09,BMU,36,Functional safety info,Running time: 238 s. Cells: 64. Temperature sensors: 32. Cell max voltage: 0 mV. Cell min voltage: 0 mV. Cell max temp: 0 °C. Cell min temp: 0 °C. Output current: 0.0 A. Output voltage: 0.0 V. Accumulated voltage: 0.0 V. BMS address: 1. Module type: HVM. Modules: 4.,000000ee40200000000000000000000000000101040000
20250127 10:41:11,BMU,32,System status changed,Prev status: Battery check. New status: Assign address.,0908ffffffffffffffffffffffffffffffffffffffffff
20250127 10:41:14,BMU,32,System status changed,Prev status: Assign address. New status: Battery check.,0809ffffffffffffffffffffffffffffffffffffffffff
20250127 10:41:15,BMU,41,MCU list of BMS,Not decoded: 050000000b0000ffff0000ffff0000ffff0000ffffffff,050000000b0000ffff0000ffff0000ffff0000ffffffff
20250127 10:41:23,BMU,32,System status changed,Prev status: Battery check. New status: Assign address.,0908ffffffffffffffffffffffffffffffffffffffffff
20250127 10:41:26,BMU,32,System status changed,Prev status: Assign address. New status: Battery check.,0809ffffffffffffffffffffffffffffffffffffffffff
20250127 10:41:36,BMU,32,System status changed,Prev status: Battery check. New status: Assign address.,0908ffffffffffffffffffffffffffffffffffffffffff
20250127 10:41:39,BMU,32,System status changed,Prev status: Assign address. New status: Battery check.,0809ffffffffffffffffffffffffffffffffffffffffff
20250127 10:44:29,BMU,32,System status changed,Prev status: Inactive. New status: Precharge.,0701ffffffffffffffffffffffffffffffffffffffffff
20250127 10:44:31,BMU,32,System status changed,Prev status: Precharge. New status: Active.,0307ffffffffffffffffffffffffffffffffffffffffff
20250127 10:45:04,BMU,36,Functional safety info,Running time: 300 s. Cells: 64. Temperature sensors: 32. Cell max voltage: 3279 mV. Cell min voltage: 3260 mV. Cell max temp: 19 °C. Cell min temp: 18 °C. Output current: 1.2 A. Output voltage: 211.9 V. Accumulated voltage: 209.6 V. BMS address: 1. Module type: HVM. Modules: 4.,0000012c40200ccf0cbc1312000c084708300101040000
20250127 11:37:01,BMU,101,Firmware start to update,BMS update: A. Firmware: 3.30.,01031e0101ffffffffffffffffffffffffffffffffffff
20250127 11:37:22,BMU,103,Firmware update failure,Firmware n1: 1. Firmware v1: 3.30. Firmware n2: 1. Firmware v2: 1.0.,01031e0101000001adf5d9df6d010000000000ffffffff
20250127 11:38:25,BMU,101,Firmware start to update,BMS update: A. Firmware: 3.30.,01031e0101ffffffffffffffffffffffffffffffffffff
20250127 11:38:39,BMU,105,Parameters table updated,Parameter table update: . Parameter table v: 6.0.,000600ffffffffffffffffffffffffffffffffffffffff
20250127 11:38:40,BMU,105,Parameters table updated,Parameter table update: . Parameter table v: 9.2.,020902ffffffffffffffffffffffffffffffffffffffff
20250127 11:38:42,BMU,105,Parameters table updated,Parameter table update: . Parameter table v: 14.1.,010e01ffffffffffffffffffffffffffffffffffffffff
20250127 11:38:46,BMU,103,Firmware update failure,Firmware n1: 1. Firmware v1: 3.30. Firmware n2: 1. Firmware v2: 1.0.,01031e0101000001adf5d9df6d020000000000ffffffff
20250127 11:38:58,BMU,111,Time calibrated,Datatime calibration by internet.,02ffffffffffffffffffffffffffffffffffffffffffff
20250127 11:39:17,BMU,1,Power OFF,Powered off by LED button.,01ffffffffffffffffffffffffffffffffffffffffffff
20250127 11:39:17,BMU,32,System status changed,Prev status: Fault. New status: Shutdown.,0604ffffffffffffffffffffffffffffffffffffffffff
20250127 11:40:03,BMU,0,Power ON,Bootloader: 0. Executing: B. Firmware: 3.24.,0001031802ffffffffffffffffffffffffffffffffffff
20250127 11:40:03,BMU,32,System status changed,Prev status: Load parameters. New status: Assign address.,090affffffffffffffffffffffffffffffffffffffffff
20250127 11:40:03,BMU,40,BMS firmware list,Firmware n1: 0. Firmware v1: 3.30. Firmware n2: 1. Firmware v2: 3.30. Firmware n3: 2. Firmware v3: 3.30.,00031e01031e02031e03031effffffffffffffffff0004
20250127 11:40:03,BMU,41,MCU list of BMS,Not decoded: 050000ffff0000ffff0000ffff0000ffff0000ffffffff,050000ffff0000ffff0000ffff0000ffff0000ffffffff
20250127 11:41:31,BMU,32,System status changed,Prev status: Assign address. New status: Battery check.,0809ffffffffffffffffffffffffffffffffffffffffff
20250127 11:41:33,BMU,32,System status changed,Prev status: Battery check. New status: Inactive.,0108ffffffffffffffffffffffffffffffffffffffffff
20250127 11:41:33,BMU,41,MCU list of BMS,Not decoded: 051e03010c0000ffff0000ffff0000ffff0000ffffffff,051e03010c0000ffff0000ffff0000ffff0000ffffffff
20250127 11:41:34,BMU,38,SOP info,Max charge current: 50.0 A. Max discharge current: 50.0 A. Max charge voltage: 233.6 V. Max discharge voltage: 160.0 V. Status: Inactive. Battery temp: 17 °C. Inverter: Fronius HV. BMS quantity: 2.,01f401f4092006400111000200ffffffffffffffffffff
20250127 11:41:38,BMU,36,Functional safety info,Running time: 96 s. Cells: 64. Temperature sensors: 32. Cell max voltage: 0 mV. Cell min voltage: 0 mV. Cell max temp: 0 °C. Cell min temp: 0 °C. Output current: 0.0 A. Output voltage: 0.0 V. Accumulated voltage: 0.0 V. BMS address: 1. Module type: HVM. Modules: 4.,0000006040200000000000000000000000000101040000
20250127 14:07:21,BMU,38,SOP info,Max charge current: 30.2 A. Max discharge current: 50.0 A. Max charge voltage: 233.6 V. Max discharge voltage: 160.0 V. Status: Active. Battery temp: 23 °C. Inverter: Fronius HV. BMS quantity: 2.,012e01f4092006400317000203ffffffffffffffffffff
20250127 14:25:14,BMU,2,Events record,Event: Warning; cells overvoltage. Cell max voltage: 3650 mV. Cell min voltage: 3393 mV. Battery max temp: 25 °C. Battery min temp: 23 °C. Battery voltage: 223.2 V. SOC: 98 %. SOH: 100 %.,011700040e420d41191708b86264ffffffffffffffffff
20250127 14:25:14,BMU,38,SOP info,Max charge current: 0.0 A. Max discharge current: 50.0 A. Max charge voltage: 233.6 V. Max discharge voltage: 160.0 V. Status: Active. Battery temp: 23 °C. Inverter: Fronius HV. BMS quantity: 2.,000001f4092006400317000203ffffffffffffffffffff
20250127 14:25:20,BMU,38,SOP info,Max charge current: 15.1 A. Max discharge current: 50.0 A. Max charge voltage: 233.6 V. Max discharge voltage: 160.0 V. Status: Active. Battery temp: 23 °C. Inverter: Fronius HV. BMS quantity: 2.,009701f4092006400317000202ffffffffffffffffffff
20250127 14:25:20,BMU,45,Not available,Status: 1. Output voltage: 222.7 V. Battery voltage: 223.5 V. SOC A: 97.5 %. SOC B: 99.2 %.,0100010208b308bb000003cf03e00000040400040000ff
20250127 14:26:21,BMU,45,Not available,Status: 1. Output voltage: 218.2 V. Battery voltage: 222.8 V. SOC A: 98.5 %. SOC B: 99.2 %.,01000002088608b4000003d903e00000040400040000ff
20250127 14:26:31,BMU,2,Events record,Event: Error/Warning cleared. Cell max voltage: 3542 mV. Cell min voltage: 3357 mV. Battery max temp: 25 °C. Battery min temp: 23 °C. Battery voltage: 222.9 V. SOC: 98 %. SOH: 100 %.,001700000dd60d1d191708b56264ffffffffffffffffff
